ticker,period,local_path,file_hash,page_number,text_snippet,detected_unit,notes
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,2,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,3,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,4,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,5,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,6,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,7,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,8,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,9,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,10,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,11,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,12,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,13,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,14,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
