ticker,period,field_name,issue,manual_review_required,notes
NLG,2025-Q3,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q3,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q3,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q3,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q3,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q3,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q3,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q3,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q3,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q3,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q2,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q2,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
