ticker,rank,exchange,sector_raw,legacy_last_close,public_last_close,legacy_last_price_date,public_last_price_date,legacy_avg_volume_20d,public_avg_volume_20d,legacy_avg_volume_60d,public_avg_volume_60d,price_abs_diff,price_relative_diff_pct,volume_60d_relative_diff_pct,price_crosscheck_status,volume_crosscheck_status,manual_review_required,reason
VNS,105,HOSE,Dịch vụ Tiêu dùng / Du lịch và Giải trí / Du lịch & Giải trí / Vận tải hành khách & Du lịch,,21400.0,,2023-06-30,,67700.0,,46453.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TRA,106,HOSE,Dược phẩm và Y tế / Y tế / Dược phẩm / Dược phẩm,,93300.0,,2023-06-30,,1070.0,,866.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TH1,107,UPCoM,Dịch vụ Tiêu dùng / Bán lẻ / Phân phối thực phẩm & dược phẩm / Phân phối thực phẩm,,4000.0,,2023-06-30,,585.0,,265.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
UDC,108,UPCoM,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,,4400.0,,2023-06-30,,41040.0,,54443.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TYA,109,HOSE,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Điện tử & Thiết bị điện / Hàng điện & điện tử,,11400.0,,2023-06-30,,9395.0,,9178.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VGR,110,UPCoM,"Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Kho bãi, hậu cần và bảo dưỡng",71.0,39000.0,,2023-06-30,,600.0,,671.6667,32000.0,45.070423,,MAJOR_DIFF,LEGACY_MARKET_MISSING,True,price_compared_after_legacy_x1000_unit_alignment; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VAF,111,HOSE,"Nguyên vật liệu / Hóa chất / Hóa chất / Sản phẩm hóa dầu, Nông dược & Hóa chất khác",,10700.0,,2023-06-30,,405.0,,841.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VSH,112,HOSE,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Sản xuất & Phân phối Điện / Sản xuất & Phân phối Điện",,44300.0,,2023-06-30,,36180.0,,45551.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VFG,113,HOSE,"Nguyên vật liệu / Hóa chất / Hóa chất / Sản phẩm hóa dầu, Nông dược & Hóa chất khác",,36000.0,,2023-06-30,,1095.0,,1208.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VEF,114,UPCoM,Tài chính / Bất động sản / Bất động sản / Bất động sản,,128000.0,,2023-06-30,,7350.0,,11313.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
