dataset_name,record_key,ticker,field_name,source_category,source_name,source_priority_rank,value,normalized_value,source_url,fetch_time,confidence_raw,evidence_status,reconciliation_status,notes
universe,ticker=VHM,VHM,confidence_raw,vnstock,vnstock:kbs,5,medium,medium,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=KDH,KDH,ticker,vnstock,vnstock:kbs,5,KDH,kdh,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=KDH,KDH,exchange,vnstock,vnstock:kbs,5,HOSE,hose,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=KDH,KDH,company_name,vnstock,vnstock:kbs,5,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,ctcp đầu tư và kinh doanh nhà khang điền,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=KDH,KDH,listing_status,vnstock,vnstock:kbs,5,LISTED,listed,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=KDH,KDH,source,vnstock,vnstock:kbs,5,vnstock:kbs,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=KDH,KDH,source_url,vnstock,vnstock:kbs,5,https://vnstocks.com/,https://vnstocks.com/,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=KDH,KDH,fetch_time,vnstock,vnstock:kbs,5,2026-06-04T03:25:28+00:00,2026-06-04t03:25:28+00:00,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=KDH,KDH,confidence_raw,vnstock,vnstock:kbs,5,medium,medium,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=NLG,NLG,ticker,vnstock,vnstock:kbs,5,NLG,nlg,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=NLG,NLG,exchange,vnstock,vnstock:kbs,5,HOSE,hose,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=NLG,NLG,company_name,vnstock,vnstock:kbs,5,CTCP Đầu tư Nam Long,ctcp đầu tư nam long,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=NLG,NLG,listing_status,vnstock,vnstock:kbs,5,LISTED,listed,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=NLG,NLG,source,vnstock,vnstock:kbs,5,vnstock:kbs,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=NLG,NLG,source_url,vnstock,vnstock:kbs,5,https://vnstocks.com/,https://vnstocks.com/,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=NLG,NLG,fetch_time,vnstock,vnstock:kbs,5,2026-06-04T03:25:28+00:00,2026-06-04t03:25:28+00:00,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=NLG,NLG,confidence_raw,vnstock,vnstock:kbs,5,medium,medium,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=SSI,SSI,ticker,vnstock,vnstock:kbs,5,SSI,ssi,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=SSI,SSI,exchange,vnstock,vnstock:kbs,5,HOSE,hose,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=SSI,SSI,company_name,vnstock,vnstock:kbs,5,CTCP Chứng khoán SSI,ctcp chứng khoán ssi,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=SSI,SSI,listing_status,vnstock,vnstock:kbs,5,LISTED,listed,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=SSI,SSI,source,vnstock,vnstock:kbs,5,vnstock:kbs,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=SSI,SSI,source_url,vnstock,vnstock:kbs,5,https://vnstocks.com/,https://vnstocks.com/,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=SSI,SSI,fetch_time,vnstock,vnstock:kbs,5,2026-06-04T03:25:28+00:00,2026-06-04t03:25:28+00:00,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=SSI,SSI,confidence_raw,vnstock,vnstock:kbs,5,medium,medium,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=VND,VND,ticker,vnstock,vnstock:kbs,5,VND,vnd,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
